ticker,expiry,option_type,strike,bid,ask,mid,lastPrice,volume,openInterest,impliedVolatility,days_to_expiry,T_years,log_moneyness,contractSymbol,spot,q,r_cc
SPY,2026-09-04,call,550.0,225.87,228.64,227.255,193.2,5.0,10,0.6970245141601563,21,0.057534246575342465,-0.34467232492180566,SPY260904C00550000,776.3400268554688,0.009692917716067896,0.037969931251628626
SPY,2026-09-04,call,560.0,215.98,218.67,217.325,212.14,11.0,12,0.673098972167969,21,0.057534246575342465,-0.32665381941912724,SPY260904C00560000,776.3400268554688,0.009692917716067896,0.037969931251628626
SPY,2026-09-04,call,570.0,205.96,208.7,207.32999999999998,200.15,12.0,14,0.6418492846679689,21,0.057534246575342465,-0.3089542423197264,SPY260904C00570000,776.3400268554688,0.009692917716067896,0.037969931251628626
SPY,2026-09-04,call,610.0,166.09,168.83,167.46,164.89,1.0,10,0.5300339965820313,21,0.057534246575342465,-0.24113164598096526,SPY260904C00610000,776.3400268554688,0.009692917716067896,0.037969931251628626
SPY,2026-09-04,call,635.0,141.25,143.94,142.595,140.27,,10,0.5385788330078126,21,0.057534246575342465,-0.20096560425563054,SPY260904C00635000,776.3400268554688,0.009692917716067896,0.037969931251628626
SPY,2026-09-04,call,660.0,116.33,119.08,117.705,119.11,1.0,12,0.46045461425781253,21,0.057534246575342465,-0.16235076812785096,SPY260904C00660000,776.3400268554688,0.009692917716067896,0.037969931251628626
SPY,2026-09-04,call,665.0,111.37,114.11,112.74000000000001,111.36,2.0,15,0.4448908050537109,21,0.057534246575342465,-0.15480356249246807,SPY260904C00665000,776.3400268554688,0.009692917716067896,0.037969931251628626
SPY,2026-09-04,call,670.0,106.4,109.13,107.765,110.48,2.0,11,0.4288387194824219,21,0.057534246575342465,-0.1473128907633105,SPY260904C00670000,776.3400268554688,0.009692917716067896,0.037969931251628626
SPY,2026-09-04,call,675.0,101.4,104.18,102.79,102.9,1.0,20,0.4138852557373046,21,0.057534246575342465,-0.13987791227579244,SPY260904C00675000,776.3400268554688,0.009692917716067896,0.037969931251628626
SPY,2026-09-04,call,680.0,96.48,99.22,97.85,97.11,1.0,25,0.398443515625,21,0.057534246575342465,-0.1324978049781698,SPY260904C00680000,776.3400268554688,0.009692917716067896,0.037969931251628626
