ticker,expiry,option_type,strike,bid,ask,mid,lastPrice,volume,openInterest,impliedVolatility,days_to_expiry,T_years,log_moneyness,contractSymbol,spot,q,r_cc
AAPL,2026-09-04,call,220.0,84.45,88.3,86.375,85.8,1.0,19,0.6938507177734375,21,0.057534246575342465,-0.32972874732011115,AAPL260904C00220000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,call,235.0,69.5,73.35,71.425,67.3,27.0,27,0.5835002587890624,21,0.057534246575342465,-0.26377077952831357,AAPL260904C00235000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,call,240.0,64.9,68.4,66.65,67.85,2.0,19,0.5835002587890624,21,0.057534246575342465,-0.24271737033048135,AAPL260904C00240000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,call,245.0,59.55,63.4,61.474999999999994,61.93,2.0,44,0.5139208764648437,21,0.057534246575342465,-0.22209808312774565,AAPL260904C00245000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,call,250.0,54.6,58.45,56.525000000000006,52.95,90.0,203,0.6787141503906251,21,0.057534246575342465,-0.20189537581022615,AAPL260904C00250000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,call,255.0,49.8,53.45,51.625,52.95,4.0,200,0.6289099609375001,21,0.057534246575342465,-0.18209274851404653,AAPL260904C00255000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,call,260.0,44.65,48.5,46.575,45.04,1.0,20,0.5827678442382812,21,0.057534246575342465,-0.1626746626569449,AAPL260904C00260000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,call,265.0,40.55,43.55,42.05,39.6,4.0,34,0.5365036584472658,21,0.057534246575342465,-0.1436264676862504,AAPL260904C00265000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,call,270.0,34.95,38.65,36.8,36.77,5.0,42,0.4928029235839845,21,0.057534246575342465,-0.12493433467409783,AAPL260904C00270000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,call,275.0,30.9,32.85,31.875,31.94,1.0,49,0.39417109741210943,21,0.057534246575342465,-0.10658519600590138,AAPL260904C00275000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,call,280.0,25.95,28.0,26.975,28.0,1.0,95,0.35559726440429684,21,0.057534246575342465,-0.08856669050322304,AAPL260904C00280000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,call,285.0,21.55,23.0,22.275,22.27,6.0,201,0.3067085931396484,21,0.057534246575342465,-0.07086711340382208,AAPL260904C00285000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,call,290.0,17.55,19.0,18.275,17.53,3.0,56,0.303168589477539,21,0.057534246575342465,-0.053475370691952864,AAPL260904C00290000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,call,295.0,13.0,14.5,13.75,13.7,9.0,214,0.26697510375976563,21,0.057534246575342465,-0.03638093733265284,AAPL260904C00295000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,call,300.0,9.9,10.65,10.275,10.2,115.0,696,0.24622335815429688,21,0.057534246575342465,-0.01957381901627157,AAPL260904C00300000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,call,305.0,6.95,7.25,7.1,7.1,429.0,2301,0.2264481652832031,21,0.057534246575342465,-0.003044517065060977,AAPL260904C00305000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,call,310.0,4.65,4.85,4.75,4.6,360.0,1913,0.2217485052490234,21,0.057534246575342465,0.013216003806719358,AAPL260904C00310000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,call,315.0,2.91,3.15,3.0300000000000002,3.05,937.0,1909,0.2215654016113281,21,0.057534246575342465,0.02921634515316052,AAPL260904C00315000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,call,320.0,1.78,1.93,1.855,1.88,1839.0,6431,0.2205888488769531,21,0.057534246575342465,0.0449647021212995,AAPL260904C00320000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,call,325.0,1.04,1.21,1.125,1.12,860.0,1606,0.22510540527343748,21,0.057534246575342465,0.06046888865726478,AAPL260904C00325000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,call,330.0,0.67,0.73,0.7,0.68,808.0,6420,0.22852333984375,21,0.057534246575342465,0.07573636078805325,AAPL260904C00330000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,call,335.0,0.4,0.45,0.42500000000000004,0.43,396.0,1667,0.23413851806640623,21,0.057534246575342465,0.09077423815259379,AAPL260904C00335000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,call,340.0,0.25,0.28,0.265,0.27,864.0,2007,0.24048611083984373,21,0.057534246575342465,0.10558932393773446,AAPL260904C00340000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,call,345.0,0.14,0.21,0.175,0.2,28.0,719,0.25440198730468755,21,0.057534246575342465,0.12018812335888716,AAPL260904C00345000,305.92999267578125,0.0034648449821112104,0.037969931251628626
