model,param,subset_A,subset_B,pct_change
Merton,sigma,0.11274844675783331,0.11293147013364606,0.1623289553654367
Merton,lam,0.09532397870467764,0.09486112425713325,-0.48555930400088976
Merton,mu_j,-0.5,-0.5,0.0
Merton,sigma_j,0.3234219188598009,0.31343485722946096,-3.0879359276416958
Heston,kappa,0.2084874948239413,0.2814342989020126,34.98857528106025
Heston,theta,1.9042604933238838,2.0,5.02764758349857
Heston,xi,0.891194834402399,1.061007632210361,19.05450876202979
Heston,rho,-0.9899999999999574,-0.99,-4.306319610667459e-12
Heston,v0,0.0010000000000006217,0.001,-6.216815257028018e-11
