ticker,expiry,strike,mid_call,mid_put,lhs,rhs,parity_gap
SPY,2026-09-04,720.0,58.545,0.695,57.85,57.47837695115675,0.37162304884325437
SPY,2026-09-04,721.0,57.385,0.71,56.675,56.480559138104354,0.19444086189564302
SPY,2026-09-04,722.0,56.405,0.73,55.675000000000004,55.48274132505196,0.19225867494804305
SPY,2026-09-04,723.0,55.44,0.755,54.684999999999995,54.48492351199968,0.2000764880003132
SPY,2026-09-04,724.0,54.46,0.775,53.685,53.48710569894729,0.19789430105271322
SPY,2026-09-04,725.0,53.48,0.8,52.68,52.489287885894896,0.19071211410510358
SPY,2026-09-04,726.0,52.505,0.825,51.68,51.49147007284262,0.18852992715738282
SPY,2026-09-04,728.0,50.57,0.875,49.695,49.495834446737945,0.19916555326205554
SPY,2026-09-04,729.0,49.765,0.905,48.86,48.49801663368555,0.3619833663144476
SPY,2026-09-04,730.0,48.625,0.93,47.695,47.50019882063316,0.19480117936684138
SPY,2026-09-04,731.0,47.63,0.965,46.665,46.50238100758088,0.16261899241911948
SPY,2026-09-04,732.0,46.85,1.0,45.85,45.50456319452849,0.3454368054715147
SPY,2026-09-04,733.0,45.91,1.03,44.879999999999995,44.506745381476094,0.3732546185239016
SPY,2026-09-04,734.0,44.925,1.07,43.855,43.508927568423815,0.3460724315761823
SPY,2026-09-04,735.0,43.96,1.105,42.855000000000004,42.51110975537142,0.3438902446285823
SPY,2026-09-04,736.0,43.01,1.145,41.864999999999995,41.51329194231914,0.35170805768085245
SPY,2026-09-04,737.0,42.055,1.19,40.865,40.51547412926675,0.3495258707332525
SPY,2026-09-04,738.0,40.595,1.23,39.365,39.51765631621436,-0.1526563162143546
SPY,2026-09-04,739.0,39.655,1.28,38.375,38.51983850316208,-0.14483850316207736
SPY,2026-09-04,740.0,38.71,1.33,37.38,37.522020690109684,-0.14202069010968188
SPY,2026-09-04,741.0,37.77,1.38,36.39,36.52420287705729,-0.13420287705729095
SPY,2026-09-04,742.0,36.81999999999999,1.435,35.38499999999999,35.52638506400501,-0.14138506400502138
SPY,2026-09-04,743.0,35.885,1.495,34.39,34.52856725095262,-0.1385672509526188
SPY,2026-09-04,744.0,34.925,1.5550000000000002,33.37,33.53074943790034,-0.16074943790034268
SPY,2026-09-04,745.0,34.004999999999995,1.625,32.379999999999995,32.53293162484795,-0.15293162484795175
SPY,2026-09-04,746.0,33.06,1.6949999999999998,31.365000000000002,31.535113811795554,-0.1701138117955523
SPY,2026-09-04,747.0,32.14,1.765,30.375,30.537295998743275,-0.16229599874327505
SPY,2026-09-04,748.0,31.225,1.845,29.380000000000003,29.539478185690882,-0.15947818569087957
SPY,2026-09-04,749.0,30.59,1.93,28.66,28.54166037263849,0.11833962736151094
SPY,2026-09-04,750.0,29.365,2.015,27.349999999999998,27.54384255958621,-0.1938425595862121
SPY,2026-09-04,751.0,28.825,2.115,26.71,26.546024746533817,0.1639752534661838
SPY,2026-09-04,752.0,27.905,2.215,25.69,25.548206933481538,0.14179306651846346
SPY,2026-09-04,753.0,27.03,2.315,24.715,24.550389120429145,0.16461087957085496
SPY,2026-09-04,754.0,26.145,2.43,23.715,23.552571307376752,0.16242869262324788
SPY,2026-09-04,755.0,25.46,2.545,22.915,22.554753494324473,0.3602465056755264
SPY,2026-09-04,756.0,24.305,2.675,21.63,21.55693568127208,0.07306431872791919
SPY,2026-09-04,757.0,23.465,2.81,20.655,20.559117868219687,0.09588213178031424
SPY,2026-09-04,758.0,23.06,2.95,20.11,19.561300055167408,0.5486999448325918
SPY,2026-09-04,759.0,21.77,3.105,18.665,18.563482242115015,0.1015177578849844
SPY,2026-09-04,760.0,20.795,3.26,17.535000000000004,17.565664429062736,-0.030664429062731813
SPY,2026-09-04,761.0,20.14,3.43,16.71,16.567846616010343,0.14215338398965827
SPY,2026-09-04,762.0,19.33,3.615,15.714999999999998,15.57002880295795,0.14497119704204842
SPY,2026-09-04,763.0,18.435,3.805,14.629999999999999,14.57221098990567,0.057789010094328574
SPY,2026-09-04,764.0,17.645,4.015000000000001,13.629999999999999,13.574393176853278,0.055606823146721496
SPY,2026-09-04,765.0,17.22,4.225,12.995,12.576575363800885,0.41842463619911463
SPY,2026-09-04,766.0,16.095,4.455,11.639999999999999,11.578757550748605,0.06124244925139344
SPY,2026-09-04,767.0,15.34,4.7,10.64,10.580939737696212,0.059060262303788136
SPY,2026-09-04,768.0,14.595,4.955,9.64,9.58312192464382,0.05687807535618106
SPY,2026-09-04,769.0,13.855,5.23,8.625,8.58530411159154,0.03969588840845972
SPY,2026-09-04,770.0,13.145,5.51,7.635,7.587486298539147,0.04751370146085243
SPY,2026-09-04,771.0,12.46,5.824999999999999,6.635000000000002,6.589668485486868,0.04533151451313344
SPY,2026-09-04,772.0,11.66,6.15,5.51,5.591850672434475,-0.08185067243447541
SPY,2026-09-04,773.0,11.275,6.495,4.78,4.594032859382082,0.18596714061791797
SPY,2026-09-04,774.0,10.465,6.855,3.6099999999999994,3.596215046329803,0.013784953670196387
SPY,2026-09-04,775.0,9.965,7.234999999999999,2.7300000000000004,2.59839723327741,0.1316027667225903
SPY,2026-09-04,776.0,9.2,7.640000000000001,1.5599999999999987,1.6005794202250172,-0.04057942022501848
SPY,2026-09-04,777.0,8.615,8.055,0.5600000000000005,0.602761607172738,-0.04276160717273747
SPY,2026-09-04,778.0,8.05,8.515,-0.46499999999999986,-0.39505620587965495,-0.0699437941203449
SPY,2026-09-04,779.0,7.505,8.96,-1.455000000000001,-1.3928740189319342,-0.06212598106806677
SPY,2026-09-04,780.0,6.995,9.475,-2.4799999999999995,-2.390691831984327,-0.08930816801567243
SPY,2026-09-04,781.0,6.49,9.99,-3.5,-3.38850964503672,-0.11149035496327997
SPY,2026-09-04,782.0,6.015,10.81,-4.795000000000001,-4.386327458088999,-0.40867254191100155
SPY,2026-09-04,783.0,5.565,11.09,-5.5249999999999995,-5.384145271141392,-0.14085472885860728
SPY,2026-09-04,784.0,5.135,11.96,-6.825000000000001,-6.381963084193785,-0.44303691580621596
SPY,2026-09-04,785.0,4.734999999999999,12.295,-7.5600000000000005,-7.379780897246064,-0.18021910275393616
SPY,2026-09-04,786.0,4.34,12.93,-8.59,-8.377598710298457,-0.2124012897015426
SPY,2026-09-04,787.0,3.98,13.6,-9.62,-9.375416523350736,-0.24458347664926272
SPY,2026-09-04,788.0,3.64,14.29,-10.649999999999999,-10.37323433640313,-0.27676566359686916
SPY,2026-09-04,789.0,3.315,15.055,-11.74,-11.371052149455522,-0.3689478505444779
SPY,2026-09-04,790.0,3.02,15.805,-12.785,-12.368869962507802,-0.41613003749219857
SPY,2026-09-04,791.0,2.74,16.54,-13.799999999999999,-13.366687775560194,-0.43331222443980444
SPY,2026-09-04,792.0,2.48,17.305,-14.825,-14.364505588612587,-0.4604944113874119
SPY,2026-09-04,793.0,2.245,18.130000000000003,-15.885000000000002,-15.362323401664867,-0.5226765983351349
SPY,2026-09-04,794.0,2.03,18.96,-16.93,-16.36014121471726,-0.5698587852827401
SPY,2026-09-04,795.0,1.825,20.33,-18.505,-17.35795902776954,-1.1470409722304602
SPY,2026-09-04,796.0,1.645,20.665,-19.02,-18.35577684082193,-0.6642231591780678
SPY,2026-09-04,797.0,1.475,21.55,-20.075,-19.353594653874325,-0.7214053461256746
SPY,2026-09-04,800.0,1.06,23.98,-22.92,-22.34704809303139,-0.572951906968612
SPY,2026-09-04,801.0,0.95,25.22,-24.27,-23.34486590608367,-0.9251340939163306
SPY,2026-09-04,802.0,0.85,26.18,-25.33,-24.342683719136062,-0.9873162808639364
SPY,2026-09-30,530.0,247.985,0.19,247.79500000000002,247.95665195070717,-0.161651950707153
SPY,2026-09-30,535.0,243.015,0.205,242.80999999999997,242.98103867946202,-0.17103867946204332
SPY,2026-09-30,540.0,238.045,0.215,237.82999999999998,238.00542540821687,-0.17542540821688135
SPY,2026-09-30,550.0,228.115,0.245,227.87,228.05419886572656,-0.18419886572655741
SPY,2026-09-30,570.0,208.245,0.315,207.93,208.15174578074607,-0.22174578074606188
SPY,2026-09-30,575.0,169.22500000000002,0.335,168.89000000000001,203.17613250950092,-34.2861325095009
