model,fitted_slope,theoretical_slope,R^2,p_value_slope_nonzero,abs_diff_from_theory
CRR binomial,-1.0821951467501922,-1.0,0.8443667480406626,9.101630621677541e-11,0.08219514675019224
Plain Monte Carlo,-0.5314347456064422,-0.5,0.9909219639726881,1.5230330740175392e-11,0.031434745606442216
