method,n_paths,n_seeds,mean_price,bs_benchmark,mean_error,mean_reported_se,realized_std_across_seeds,t_stat_vs_bs,p_value_vs_bs,se_reduction_pct_vs_plain
plain,50000,30,10.444136544570494,10.450583572185565,-0.006447027615069227,0.06570547897422221,0.06447101289549079,-0.5477162983861118,0.5880779730411264,0.0
antithetic,50000,30,10.436256307709481,10.450583572185565,-0.014327264476081977,0.046394067579793606,0.040851759361924284,-1.9209370816490805,0.06461960012457621,29.390869218082898
control_variate,50000,30,10.442824406453763,10.450583572185565,-0.0077591657318013315,0.025067524518495195,0.020077183409634394,-2.116766088160201,0.04298028151186203,61.84865416120051
