ticker,expiry,n_calib,n_holdout,BS_flat_IV,BS_is_rmse,BS_oos_rmse,Merton_is_rmse,Merton_oos_rmse,Merton_success,Merton_time_s,Merton_start_rmse_spread,Heston_is_rmse,Heston_oos_rmse,Heston_success,Heston_feller_ok,Heston_time_s,Heston_start_rmse_spread
SPY,2026-09-04,12,172,0.11538269527585668,0.14009122563860252,0.08188322840191468,0.005691222397230334,0.008159374283627032,True,44.4,2.2871553014697232e-07,0.016083044968073314,0.02366483008364208,True,True,99.5,0.010519579418219129
SPY,2026-09-30,12,209,0.12701664445775712,0.08840572613935384,0.07521541823793156,0.005521242410368569,0.005541160854058803,True,41.3,1.2910885112751846e-09,0.014133484968087357,0.017930140734721167,True,False,42.1,0.0006808779953220503
SPY,2026-12-18,12,84,0.1520588952206672,0.10543467623170062,0.09524238418824346,0.005329274710793039,0.005147682842187986,True,46.1,6.474033432350007e-08,0.029188664878424177,0.02638233219181854,True,False,122.8,0.003685212915948286
AAPL,2026-09-04,12,18,0.21591307313512995,0.14144245579436898,0.0944957242202987,0.019762417329888277,0.025959305370017453,True,30.5,1.538183259354453e-06,0.04323736744413011,0.03620772063109256,True,False,112.4,2.07817235642338e-10
AAPL,2026-09-25,10,11,0.2274066233318499,0.036502712839486286,0.020412689286466414,0.002456726132554952,0.004293089138618881,True,31.0,0.00017930990547601177,0.007861609256330572,0.006768496798848967,True,False,26.5,0.0006482278679038125
AAPL,2026-12-18,12,27,0.2590594728979216,0.05327779042791514,0.04388350818050007,0.002421166575115276,0.0027589398760576437,True,43.8,1.277054903713569e-07,0.0077037742967979595,0.006012485367919338,True,False,211.4,1.633648754467698e-10
