ticker,expiry,n,linear_coef,linear_p_ols,linear_p_hac,curvature_coef,curvature_p_ols,curvature_p_hac,R2
SPY,2026-09-04,328,-0.45005133085252313,4.225862936365245e-56,7.474499829502534e-05,2.001235278133417,2.272559859754e-64,4.969533733072174e-06,0.9188703798241885
SPY,2026-09-30,430,-0.5276845318130674,1.942330733407258e-149,8.801596872639442e-14,0.7077615923837475,2.687045109932548e-35,0.015968877604449715,0.9566746398216478
SPY,2026-12-18,157,-0.3200116564137336,9.718399301798272e-91,3.919107180759385e-57,0.683820808171778,5.947559015290874e-50,6.809266018143289e-16,0.9771403960370185
AAPL,2026-09-04,55,-0.10865530227209058,0.0012195942152582286,0.00025265221344945686,2.8050097809084265,5.646798810616506e-23,2.5468271809716734e-30,0.927785741375403
AAPL,2026-09-25,38,-0.10727640597186977,1.8568873891360918e-15,1.5772258586550765e-39,1.6336338083561377,6.644663285544701e-25,1.9791770852677004e-143,0.9669754518232647
AAPL,2026-12-18,70,-0.11534806904513224,4.646003217861697e-25,7.01827822122986e-85,0.4461417661715099,2.0529779242329797e-21,5.434088572381525e-110,0.8959043238671726
