ticker,expiry,n_otm_used_for_fit,n_total_priced,R2,resid_std
SPY,2024-04-05,92,157,0.9667078392433655,0.018560132975556327
SPY,2024-04-30,152,288,0.9788463314199134,0.011669796390315564
SPY,2024-07-19,120,206,0.9850187307877799,0.0066467383124276455
AAPL,2024-04-05,19,28,0.9660268518289903,0.02075484853499255
AAPL,2024-04-26,19,26,0.937720104078652,0.01909516781966976
AAPL,2024-07-19,28,46,0.988907625924663,0.003664730994408724
