ticker,option_type,n,mean_market_minus_bs_gap,mean_market_minus_binomial_gap,mean_binomial_ee_premium,gap_reduction_pct
AAPL,call,90,0.14280523346314047,0.14292932009336623,0.0,-0.08689221481353063
AAPL,put,73,0.07000666160051026,-0.13992953080920617,0.20974829764731048,-99.8803079737004
SPY,call,501,-0.5003832304851263,-0.5002456727805965,3.881692412609275e-10,0.027490470533249132
SPY,put,414,-0.21532370738698672,-0.3002305510028403,0.0851536135226836,-39.43218545055805
